Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
GIN,2010-01-01,2012-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20102012,2012,%,59,E,
GIN,2011-01-01,2013-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20112013,2013,%,59,E,
GIN,2012-01-01,2014-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20122014,2014,%,60,E,
GIN,2013-01-01,2015-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20132015,2015,%,61,E,
GIN,2014-01-01,2016-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,62,E,
GIN,2015-01-01,2017-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,62,E,
GIN,2016-01-01,2018-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,63,E,
GIN,2017-01-01,2019-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,63,E,
GIN,2018-01-01,2020-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,64,E,
GIN,2019-01-01,2021-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,64,E,
GIN,2020-01-01,2022-12-31,90,'324,Guinea,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,64,E,
GIN,2000-01-01,2002-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,51.3,E,
GIN,2001-01-01,2003-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,51.7,E,
GIN,2002-01-01,2004-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,52,E,
GIN,2003-01-01,2005-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,52.1,E,
GIN,2004-01-01,2006-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,52.1,E,
GIN,2005-01-01,2007-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,52.1,E,
GIN,2006-01-01,2008-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,52.8,E,
GIN,2007-01-01,2009-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,53.6,E,
GIN,2008-01-01,2010-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,53.4,E,
GIN,2009-01-01,2011-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,53.2,E,
GIN,2010-01-01,2012-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,52.8,E,
GIN,2011-01-01,2013-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,54.1,E,
GIN,2012-01-01,2014-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,54.8,E,
GIN,2013-01-01,2015-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,54.7,E,
GIN,2014-01-01,2016-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,54.3,E,
GIN,2015-01-01,2017-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,54.1,E,
GIN,2016-01-01,2018-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,54.9,E,
GIN,2017-01-01,2019-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,55.7,E,
GIN,2018-01-01,2020-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,57.1,E,
GIN,2019-01-01,2021-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,57.8,E,
GIN,2020-01-01,2022-12-31,90,'324,Guinea,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,57.7,E,
GIN,2000-01-01,2002-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,7.5,E,
GIN,2001-01-01,2003-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,7.8,E,
GIN,2002-01-01,2004-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,7.7,E,
GIN,2003-01-01,2005-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,7.8,E,
GIN,2004-01-01,2006-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,7.6,E,
GIN,2005-01-01,2007-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,7.7,E,
GIN,2006-01-01,2008-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,7.7,E,
GIN,2007-01-01,2009-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,8.2,E,
GIN,2008-01-01,2010-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,9.2,E,
GIN,2009-01-01,2011-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,10.4,E,
GIN,2010-01-01,2012-12-31,90,'324,Guinea,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,11.3,E,
